entity,department,employee_name,invoice_date,hours,dollars
30,1002000,Shirley Temple,11/29/2024,12,3767
10,1002000,John Smith,11/30/2024,18,6857
20,1003000,Harry Prince,12/1/2024,3,8052
20,1005000,Jane Smith,12/2/2024,16,9599
10,1001000,Tarzan Black,12/3/2024,18,7435
20,1002000,Phil Harmonic,12/4/2024,16,8887
10,1001000,Suzy Queue,12/5/2024,17,6631
10,1001000,Monty Python,12/6/2024,5,1445
20,1004000,Shirley Temple,12/7/2024,11,1588
30,1002000,John Smith,12/8/2024,13,9872
10,1002000,Harry Prince,12/9/2024,18,4701
20,1003000,Jane Smith,12/10/2024,6,1069
20,1005000,Tarzan Black,12/11/2024,6,3101
10,1002000,Phil Harmonic,12/12/2024,2,3258
20,1001000,Suzy Queue,12/13/2024,12,8541
10,1001000,Monty Python,12/14/2024,17,6912
10,1004000,Shirley Temple,12/15/2024,16,8478
20,1002000,Monty Python,12/16/2024,16,6394
30,1002000,Shirley Temple,12/17/2024,18,9256
10,1003000,John Smith,12/18/2024,14,8831
20,1005000,Harry Prince,12/19/2024,18,4742
20,1001000,Jane Smith,12/20/2024,15,171
10,1002000,Tarzan Black,12/21/2024,14,512
20,1001000,Phil Harmonic,12/22/2024,13,9799
10,1001000,Suzy Queue,12/23/2024,5,2914
10,1004000,Monty Python,12/24/2024,8,5106
20,1002000,Shirley Temple,12/25/2024,18,966
30,1002000,John Smith,12/26/2024,16,1213
10,1003000,Harry Prince,12/27/2024,13,1747
20,1005000,Jane Smith,12/28/2024,9,3234
20,1001000,Tarzan Black,12/29/2024,5,8234
10,1002000,Phil Harmonic,12/30/2024,1,7310
20,1001000,Suzy Queue,12/31/2024,11,3061
10,1001000,Monty Python,1/1/2025,2,6611
10,1004000,Shirley Temple,1/2/2025,2,7550
20,1002000,Monty Python,1/3/2025,1,6183
30,1002000,Shirley Temple,1/4/2025,12,2255
10,1003000,John Smith,1/5/2025,16,7216
20,1005000,Harry Prince,1/6/2025,7,8121
20,1002000,Jane Smith,1/7/2025,15,881
10,1001000,Tarzan Black,1/8/2025,15,7065
20,1001000,Phil Harmonic,1/9/2025,6,5371
10,1004000,Suzy Queue,1/10/2025,5,2680
10,1002000,Monty Python,1/11/2025,12,7124
20,1002000,Shirley Temple,1/12/2025,12,5355
30,1003000,John Smith,1/13/2025,15,7912
10,1005000,Harry Prince,1/14/2025,8,417
20,1001000,Jane Smith,1/15/2025,1,1060
20,1002000,Tarzan Black,1/16/2025,13,7700
10,1001000,Phil Harmonic,1/17/2025,11,953
20,1001000,Suzy Queue,1/18/2025,18,1972
10,1004000,Monty Python,1/19/2025,16,3031
10,1002000,Shirley Temple,1/20/2025,16,4162
20,1002000,Tarzan Black,1/21/2025,17,6053
30,1003000,Phil Harmonic,1/22/2025,6,5580
10,1005000,Suzy Queue,1/23/2025,18,2198
20,1001000,Monty Python,1/24/2025,18,5009
20,1002000,Shirley Temple,1/25/2025,2,3660
10,1001000,Monty Python,1/26/2025,6,7251
20,1001000,Shirley Temple,1/27/2025,13,9212
10,1004000,John Smith,1/28/2025,1,4510
10,1002000,Harry Prince,1/29/2025,8,1565
20,1002000,Jane Smith,1/30/2025,16,4244
30,1003000,Tarzan Black,1/31/2025,11,3717
10,1005000,Phil Harmonic,2/1/2025,4,2920
20,1002000,Suzy Queue,2/2/2025,17,2146
20,1001000,Monty Python,2/3/2025,7,315
10,1001000,Shirley Temple,2/4/2025,7,6651
20,1004000,John Smith,2/5/2025,3,6609
10,1002000,Harry Prince,2/6/2025,17,6908
10,1002000,Jane Smith,2/7/2025,12,3275
20,1003000,Tarzan Black,2/8/2025,7,7505
30,1005000,Phil Harmonic,2/9/2025,13,8295
10,1001000,Suzy Queue,2/10/2025,6,2837
20,1002000,Monty Python,2/11/2025,5,275
20,1001000,Shirley Temple,2/12/2025,3,385
10,1001000,Tarzan Black,2/13/2025,2,9251
20,1004000,Phil Harmonic,2/14/2025,12,937
10,1002000,Suzy Queue,2/15/2025,6,3686
10,1002000,Monty Python,2/16/2025,11,3320
20,1003000,Shirley Temple,2/17/2025,13,3441
30,1005000,Monty Python,2/18/2025,7,3974
10,1001000,Shirley Temple,2/19/2025,6,1403
20,1002000,John Smith,2/20/2025,15,419
20,1001000,Harry Prince,2/21/2025,8,8876
10,1001000,Jane Smith,2/22/2025,5,6714
20,1004000,Tarzan Black,2/23/2025,12,8022
10,1002000,Phil Harmonic,2/24/2025,3,6516
10,1002000,Suzy Queue,2/25/2025,3,5334
20,1003000,Monty Python,2/26/2025,15,9096
30,1005000,Shirley Temple,2/27/2025,2,219
10,1002000,John Smith,2/28/2025,13,697
20,1001000,Harry Prince,3/1/2025,17,8170
20,1001000,Jane Smith,3/2/2025,1,136
10,1004000,Tarzan Black,3/3/2025,10,7651
20,1002000,Phil Harmonic,3/4/2025,11,5248
10,1002000,Suzy Queue,3/5/2025,7,7936
10,1003000,Monty Python,3/6/2025,14,7662
20,1005000,Shirley Temple,3/7/2025,11,3605
30,1001000,Tarzan Black,3/8/2025,8,4197
10,1002000,Phil Harmonic,3/9/2025,17,1503
20,1001000,Suzy Queue,3/10/2025,18,7467
20,1001000,Monty Python,3/11/2025,12,2743
10,1004000,Shirley Temple,3/12/2025,11,6235
20,1002000,Monty Python,3/13/2025,12,5688
10,1002000,Shirley Temple,3/14/2025,3,2683
10,1003000,John Smith,3/15/2025,1,2079
20,1005000,Harry Prince,3/16/2025,1,4997
30,1001000,Jane Smith,3/17/2025,13,6785
10,1002000,Tarzan Black,3/18/2025,2,3822
20,1001000,Phil Harmonic,3/19/2025,8,364
20,1001000,Suzy Queue,3/20/2025,16,1321
10,1004000,Monty Python,3/21/2025,1,9336
20,1002000,Shirley Temple,3/22/2025,9,8058
10,1002000,John Smith,3/23/2025,9,4662
10,1003000,Harry Prince,3/24/2025,13,320
20,1005000,Jane Smith,3/25/2025,2,6241
30,1002000,Tarzan Black,3/26/2025,10,5619
10,1001000,Phil Harmonic,3/27/2025,11,8526
20,1001000,Suzy Queue,3/28/2025,4,8959
20,1004000,Monty Python,3/29/2025,1,7658
10,1002000,Shirley Temple,3/30/2025,6,676
20,1002000,Tarzan Black,3/31/2025,9,4667
10,1003000,Phil Harmonic,4/1/2025,14,8282
10,1005000,Suzy Queue,4/2/2025,5,439
20,1001000,Monty Python,4/3/2025,14,3987
30,1002000,Shirley Temple,4/4/2025,6,6563
10,1001000,Monty Python,4/5/2025,14,7874
20,1001000,Shirley Temple,4/6/2025,16,809
20,1004000,John Smith,4/7/2025,13,4497
10,1002000,Harry Prince,4/8/2025,1,7783
20,1002000,Jane Smith,4/9/2025,1,9656
10,1003000,Tarzan Black,4/10/2025,3,3122
10,1005000,Phil Harmonic,4/11/2025,5,7391
20,1001000,Suzy Queue,4/12/2025,5,4487
30,1002000,Monty Python,4/13/2025,16,1876
10,1001000,Shirley Temple,4/14/2025,16,3978
20,1001000,John Smith,4/15/2025,2,7200
20,1004000,Harry Prince,4/16/2025,4,6754
10,1002000,Jane Smith,4/17/2025,11,3954
20,1002000,Tarzan Black,4/18/2025,18,6516
10,1003000,Phil Harmonic,4/19/2025,2,5120
10,1005000,Suzy Queue,4/20/2025,13,7015
20,1002000,Monty Python,4/21/2025,18,8114
30,1001000,Shirley Temple,4/22/2025,3,2359
10,1001000,Tarzan Black,4/23/2025,2,1410
20,1004000,Phil Harmonic,4/24/2025,14,9072
20,1002000,Suzy Queue,4/25/2025,5,3327
10,1002000,Monty Python,4/26/2025,4,9166
20,1003000,Shirley Temple,4/27/2025,1,5149
10,1005000,Monty Python,4/28/2025,1,9873
10,1001000,Shirley Temple,4/29/2025,4,3145
20,1002000,John Smith,4/30/2025,17,631
30,1001000,Harry Prince,5/1/2025,3,5789
10,1001000,Jane Smith,5/2/2025,15,6984
20,1004000,Tarzan Black,5/3/2025,15,9869
20,1002000,Phil Harmonic,5/4/2025,17,1233
10,1002000,Suzy Queue,5/5/2025,8,2928
10,1003000,Monty Python,5/6/2025,7,8785
20,1005000,Shirley Temple,5/7/2025,6,3367
30,1001000,John Smith,5/8/2025,13,3256
10,1002000,Harry Prince,5/9/2025,18,3671
20,1001000,Jane Smith,5/10/2025,13,1207
20,1001000,Tarzan Black,5/11/2025,16,4418
10,1004000,Phil Harmonic,5/12/2025,12,4280
20,1002000,Suzy Queue,5/13/2025,11,9636
10,1002000,Monty Python,5/14/2025,13,4004
10,1003000,Shirley Temple,5/15/2025,10,9770
20,1005000,Tarzan Black,5/16/2025,11,3902
30,1002000,Phil Harmonic,5/17/2025,11,8870
10,1001000,Suzy Queue,5/18/2025,7,2592
20,1001000,Monty Python,5/19/2025,7,7416
20,1004000,Shirley Temple,5/20/2025,1,5584
10,1002000,Monty Python,5/21/2025,1,1472
20,1002000,Shirley Temple,5/22/2025,4,5748
10,1003000,John Smith,5/23/2025,4,8538
10,1005000,Harry Prince,5/24/2025,9,4936
20,1001000,Jane Smith,5/25/2025,7,1690
30,1002000,Tarzan Black,5/26/2025,14,8355
10,1001000,Phil Harmonic,5/27/2025,1,5390
20,1001000,Suzy Queue,5/28/2025,1,8792
20,1004000,Monty Python,5/29/2025,3,3341
10,1002000,Shirley Temple,5/30/2025,10,8448
20,1002000,John Smith,5/31/2025,6,1969
10,1003000,Harry Prince,6/1/2025,10,602
10,1005000,Jane Smith,6/2/2025,1,9656
20,1001000,Tarzan Black,6/3/2025,3,1872
30,1002000,Phil Harmonic,6/4/2025,10,8192
10,1001000,Suzy Queue,6/5/2025,14,5992
20,1001000,Monty Python,6/6/2025,16,3825
20,1004000,Shirley Temple,6/7/2025,9,4015
10,1002000,Tarzan Black,6/8/2025,7,6751
20,1002000,Phil Harmonic,6/9/2025,5,9665
10,1003000,Suzy Queue,6/10/2025,16,1142
10,1005000,Monty Python,6/11/2025,14,7587
20,1002000,Shirley Temple,6/12/2025,5,5622
30,1001000,Monty Python,6/13/2025,15,8189
10,1001000,Shirley Temple,6/14/2025,13,9620
20,1004000,John Smith,6/15/2025,5,7046
20,1002000,Harry Prince,6/16/2025,9,9022
10,1002000,Jane Smith,6/17/2025,7,6330
20,1003000,Tarzan Black,6/18/2025,7,1138
10,1005000,Phil Harmonic,6/19/2025,8,5503
10,1001000,Suzy Queue,6/20/2025,15,3754
20,1002000,Monty Python,6/21/2025,10,4145
30,1001000,Shirley Temple,6/22/2025,1,1204
10,1001000,John Smith,6/23/2025,15,7474
20,1004000,Harry Prince,6/24/2025,14,7884
20,1002000,Jane Smith,6/25/2025,7,9871
10,1002000,Tarzan Black,6/26/2025,16,2529
20,1003000,Phil Harmonic,6/27/2025,12,1298
10,1005000,Suzy Queue,6/28/2025,13,4374
10,1001000,Monty Python,6/29/2025,14,9512
20,1002000,Shirley Temple,6/30/2025,6,3095
30,1001000,Tarzan Black,7/1/2025,1,8204
10,1001000,Phil Harmonic,7/2/2025,8,2055
20,1004000,Suzy Queue,7/3/2025,9,7102
20,1002000,Monty Python,7/4/2025,5,7279
10,1002000,Shirley Temple,7/5/2025,9,1634
10,1003000,Monty Python,7/6/2025,10,3066
20,1005000,Shirley Temple,7/7/2025,2,1362
30,1002000,John Smith,7/8/2025,4,5508
10,1001000,Harry Prince,7/9/2025,1,8370
20,1001000,Jane Smith,7/10/2025,12,6411
20,1004000,Tarzan Black,7/11/2025,17,3087
10,1002000,Phil Harmonic,7/12/2025,9,5413
20,1002000,Suzy Queue,7/13/2025,2,6071
10,1003000,Monty Python,7/14/2025,13,4102
10,1005000,Shirley Temple,7/15/2025,18,4848
20,1001000,John Smith,7/16/2025,13,5680
30,1002000,Harry Prince,7/17/2025,12,4914
10,1001000,Jane Smith,7/18/2025,12,8005
20,1001000,Tarzan Black,7/19/2025,14,8932
20,1004000,Phil Harmonic,7/20/2025,18,1655
10,1002000,Suzy Queue,7/21/2025,3,9665
20,1002000,Monty Python,7/22/2025,16,2908
10,1003000,Shirley Temple,7/23/2025,7,2338
10,1005000,Tarzan Black,7/24/2025,16,475
20,1001000,Phil Harmonic,7/25/2025,2,7851
30,1002000,Suzy Queue,7/26/2025,3,3210
10,1001000,Monty Python,7/27/2025,4,7561
20,1001000,Shirley Temple,7/28/2025,10,2395
20,1004000,Monty Python,7/29/2025,15,2911
10,1002000,Shirley Temple,7/30/2025,5,9114
20,1002000,John Smith,7/31/2025,2,6601
10,1003000,Harry Prince,8/1/2025,7,3919
10,1005000,Jane Smith,8/2/2025,10,7186
20,1002000,Tarzan Black,8/3/2025,2,607
30,1001000,Phil Harmonic,8/4/2025,16,752
10,1001000,Suzy Queue,8/5/2025,11,7968
20,1004000,Monty Python,8/6/2025,14,8036
20,1002000,Shirley Temple,8/7/2025,10,6061
10,1002000,John Smith,8/8/2025,17,3337
20,1003000,Harry Prince,8/9/2025,14,6109
10,1005000,Jane Smith,8/10/2025,17,1633
10,1001000,Tarzan Black,8/11/2025,6,6521
20,1002000,Phil Harmonic,8/12/2025,13,3669
30,1001000,Suzy Queue,8/13/2025,10,7761
10,1001000,Monty Python,8/14/2025,18,3537
20,1004000,Shirley Temple,8/15/2025,16,4630
20,1002000,Tarzan Black,8/16/2025,2,9805
10,1002000,Phil Harmonic,8/17/2025,14,2046
20,1003000,Suzy Queue,8/18/2025,16,2145
10,1005000,Monty Python,8/19/2025,4,2581
10,1001000,Shirley Temple,8/20/2025,2,5323
20,1002000,Monty Python,8/21/2025,16,8158
30,1001000,Shirley Temple,8/22/2025,1,552
10,1001000,John Smith,8/23/2025,1,2404
20,1004000,Harry Prince,8/24/2025,14,9733
20,1002000,Jane Smith,8/25/2025,9,1847
10,1002000,Tarzan Black,8/26/2025,8,5621
20,1003000,Phil Harmonic,8/27/2025,9,7054
10,1005000,Suzy Queue,8/28/2025,1,5741
10,1002000,Monty Python,8/29/2025,18,6001
20,1001000,Shirley Temple,8/30/2025,1,8180
30,1001000,John Smith,8/31/2025,16,1059
10,1004000,Harry Prince,9/1/2025,16,6268
20,1002000,Jane Smith,9/2/2025,14,6150
20,1002000,Tarzan Black,9/3/2025,16,6505
10,1003000,Phil Harmonic,9/4/2025,10,4776
10,1005000,Suzy Queue,9/5/2025,10,3548
20,1001000,Monty Python,9/6/2025,16,2448
30,1002000,Shirley Temple,9/7/2025,11,6622
10,1001000,Tarzan Black,9/8/2025,5,7758
20,1001000,Phil Harmonic,9/9/2025,1,8064
20,1004000,Suzy Queue,9/10/2025,16,2913
10,1002000,Monty Python,9/11/2025,14,6715
20,1002000,Shirley Temple,9/12/2025,3,2101
10,1003000,Monty Python,9/13/2025,13,9795
10,1005000,Shirley Temple,9/14/2025,3,4856
20,1001000,John Smith,9/15/2025,6,9575
30,1002000,Harry Prince,9/16/2025,11,8769
10,1001000,Jane Smith,9/17/2025,10,5603
20,1001000,Tarzan Black,9/18/2025,12,4327
20,1004000,Phil Harmonic,9/19/2025,15,6780
10,1002000,Suzy Queue,9/20/2025,8,6673
20,1002000,Monty Python,9/21/2025,11,6676
10,1003000,Shirley Temple,9/22/2025,5,6741
10,1005000,John Smith,9/23/2025,15,409
20,1002000,Harry Prince,9/24/2025,9,5765
30,1001000,Jane Smith,9/25/2025,17,7361
10,1001000,Tarzan Black,9/26/2025,7,5401
20,1004000,Phil Harmonic,9/27/2025,11,3481
20,1002000,Suzy Queue,9/28/2025,9,3783
10,1002000,Monty Python,9/29/2025,16,1810
20,1003000,Shirley Temple,9/30/2025,5,8252
20,1003000,Phil Harmonic,10/1/2025,8,8219
20,1003000,Phil Harmonic,10/3/2025,1,8206
20,1003000,Phil Harmonic,10/11/2025,3,8275
20,1003000,Shirley Temple,10/1/2025,7,7690
20,1003000,Shirley Temple,10/3/2025,10,1852
20,1003000,Shirley Temple,10/11/2025,16,3601
20,1003000,Suzy Queue,10/1/2025,2,1905
20,1003000,Suzy Queue,10/3/2025,10,2324
20,1003000,Suzy Queue,10/11/2025,16,3452
20,1003000,Harry Prince,10/1/2025,1,7391
20,1003000,Harry Prince,10/3/2025,9,5033
20,1003000,Harry Prince,10/4/2025,6,4689
20,1003000,Harry Prince,10/10/2025,8,1946
20,1003000,Harry Prince,10/11/2025,15,6474
